UniprotID,prob_of_sol
Q8N7X0,0.5334449716949716
Q5T1N1,0.6639992997198878
Q92667,0.5820833333333334
Q5VUY0,0.4569945887445888
P62736,0.5807579365079366
Q9H553,0.47792857142857154
P0C7M7,0.5118554778554779
P49703,0.6109951159951161
Q5TGY3,0.6152222222222222
Q75V66,0.5289099511599511
Q96JD6,0.5387698412698413
P02655,0.5915450937950938
P55056,0.6658015873015873
Q8WXK4,0.4097619047619048
Q9ULK2,0.6573863636363636
Q99700,0.6015230880230881
O75882,0.5155000000000001
P56385,0.6659920634920634
P56945,0.6664444444444446
Q9HBH7,0.7179065656565656
Q6ZU67,0.7056201298701299
Q8TDH9,0.5813214285714285
Q9BQP9,0.6878888888888889
Q9H3F6,0.6134166666666666
P04920,0.6893968253968253
Q969J3,0.6151473526473527
Q8TDN6,0.6987499999999999
O95816,0.5971738816738816
A2RUR9,0.5509791042291042
O43286,0.6868571428571428
Q8WUZ0,0.5619126984126985
O60512,0.5751150793650794
P42575,0.6181825396825397
Q6P9G0,0.47624603174603175
P31415,0.6026574536574536
P40121,0.6742976190476192
Q6ZTR7,0.5323344155844156
Q9H425,0.6131379731379732
Q5VU69,0.5403452380952382
O60911,0.6384444444444443
Q8ND23,0.6140403485403485
Q4AC94,0.597452380952381
Q8TAB5,0.4643690476190476
Q99616,0.6032380952380952
Q5VUE5,0.6842121212121213
Q16581,0.5444246031746034
P43166,0.6102738095238095
Q8IYX3,0.6119285714285715
O95319,0.6151428571428571
Q9UPV0,0.6917738095238094
O15519,0.5596626984126984
Q96LP6,0.5025
Q3C1V1,0.5322712842712842
P41002,0.6188722943722944
P51790,0.5233253968253968
P78369,0.505702380952381
Q8NCH0,0.510064935064935
Q9NQW8,0.550595238095238
Q8TBE1,0.5309758297258297
P51959,0.5688701298701299
Q9HBJ8,0.49513217338217336
Q6P4Q7,0.5721626984126984
O43741,0.46224386724386735
Q13362,0.6016150793650793
Q9UH17,0.6189603174603174
P14060,0.5972777777777778
P22760,0.5322142857142856
Q9Y478,0.6082698412698412
Q9Y2T4,0.5546611721611722
A5X5Y0,0.5026129426129426
P33897,0.4838650793650794
Q8TDX5,0.5101150793650794
Q15758,0.5141984126984126
P49902,0.5680238095238095
Q8NFM4,0.6113333333333333
P28332,0.5501587301587302
Q5BKT4,0.5027234432234432
Q8IWT0,0.6365
Q86TB3,0.616095238095238
Q9UNK9,0.6243492063492062
Q969Q4,0.6169920634920634
Q8IUR7,0.7078015873015872
O14791,0.7062142857142859
Q9BVC5,0.49132683982683983
P17342,0.5349166666666667
Q96GD4,0.5836298701298701
Q96SQ7,0.5537808302808301
Q92858,0.6934999999999999
P13497,0.6131428571428572
Q7Z5W3,0.618626984126984
P27482,0.5550198412698414
Q8NEL0,0.5521904761904762
Q6PII3,0.7458571428571429
Q8N9Z2,0.5449184149184149
Q9Y426,0.542012987012987
P15088,0.6520873015873017
Q5RIA9,0.5650198412698413
Q6ZSJ8,0.6958205128205127
Q8WWF1,0.7187738095238094
P80075,0.6927142857142857
Q9Y232,0.5957619047619047
Q8NHU2,0.5722380952380952
Q9BWT1,0.6971071428571429
Q96LL4,0.647930735930736
Q9H7U1,0.6643849206349206
Q9BPX7,0.5608463203463204
A0PJX0,0.5501984126984127
Q8IXQ3,0.5203784271284272
A8MXV6,0.6071904761904762
Q00537,0.5701141636141636
P15813,0.5569004329004328
Q8IZL9,0.6138888888888888
P10747,0.5696150793650794
Q9NQ89,0.5862142857142857
Q5U649,0.5765313852813853
Q9UJ71,0.5637698412698413
Q6ZU45,0.5597182539682539
O95336,0.5229603174603175
P27348,0.6283571428571428
Q9Y614,0.6763809523809523
Q13131,0.4588928571428572
C9JRZ8,0.6247254901960784
Q96AP0,0.5831666666666667
P61163,0.527484126984127
Q5VTM2,0.5237103174603174
Q96L96,0.6891565656565656
Q8IZF2,0.5652738095238096
P55198,0.7114696969696971
Q9Y4B4,0.45962301587301596
Q6UXC1,0.6156666666666666
Q9H1A4,0.4942777777777777
Q69YU3,0.5224326784326785
Q6UXH0,0.5808809523809524
P01160,0.6399065656565656
Q8WXK3,0.5401785714285715
P50583,0.5989087301587301
Q7Z5J8,0.6169722222222223
P61158,0.7027847985347985
Q9NSY1,0.5043531746031745
Q92560,0.500822510822511
Q07812,0.5876666666666667
Q9Y276,0.6865833333333333
Q96Q91,0.5895714285714285
Q58F21,0.5415411255411254
Q7L1Q6,0.5503769841269842
P0DN25,0.6117261904761905
Q7Z6B0,0.538517316017316
Q53HC0,0.751273088023088
O14958,0.5086331168831169
Q07021,0.6283058608058607
Q9BX69,0.5701150793650794
Q8IZS8,0.4978611111111111
Q5BJE1,0.5144126984126984
P60827,0.5017063492063492
Q96MC4,0.6592460317460318
Q9NPY3,0.6260714285714285
O15444,0.7242651515151515
P35219,0.5832499999999999
Q9NYQ6,0.5502380952380952
O75976,0.5516626984126983
Q6PRD7,0.5466785714285715
A0A0U1RRI6,0.5934047619047619
Q8N9R6,0.571559163059163
Q8IYX8,0.6830238095238096
O75838,0.510218253968254
Q8IWY9,0.5200595238095237
O43916,0.6018571428571429
Q7LGC8,0.5641666666666666
P06729,0.6066428571428573
Q7L1S5,0.5739444444444444
Q96NB1,0.6776150793650794
Q8WWZ4,0.5044563492063492
Q8WU67,0.5021230158730159
P08173,0.5598015873015874
P28223,0.5476482683982684
P30939,0.48857142857142855
A6NHY2,0.45915476190476184
Q08AH3,0.5241379731379731
O43707,0.4729458874458875
P02768,0.4888492063492063
Q9BZ11,0.5491717171717172
Q8IZF3,0.6470158730158729
O00253,0.4631031746031746
Q9BY15,0.5170119047619048
P55087,0.5785555555555555
Q7Z2E3,0.6264166666666667
Q32M45,0.5798015873015873
A6NFN9,0.6052077922077923
P19801,0.6125
Q6ZW76,0.7256904761904761
Q6ICH7,0.5671482683982684
Q8WYN0,0.5671482683982684
Q9Y284,0.714712121212121
P36542,0.5176702741702742
Q9H165,0.48521428571428565
P22004,0.673107142857143
Q9NWD9,0.6105
Q6AI39,0.6452261904761906
Q9C0J9,0.6665793650793651
O95861,0.6079166666666667
Q6UX41,0.533968253968254
O14503,0.5881904761904763
Q76B58,0.5828928571428571
P51587,0.6144514652014652
P20749,0.6894022366522367
Q6W2J9,0.5176666666666666
Q567U6,0.6488333333333334
Q13948,0.6782063492063491
Q9BXL7,0.6136587301587302
Q8WTX7,0.6332402597402598
Q5T5A4,0.7211349206349204
P22223,0.6685793650793651
Q5BKX8,0.5456349206349208
P55773,0.5654627594627594
Q8N8Q1,0.5818333333333333
Q5TID7,0.4438055555555556
Q8TF44,0.7344332611832611
Q8N5N4,0.6465238095238095
Q8TCZ2,0.6367359307359307
Q8IWD4,0.5667182539682539
F5H4A9,0.5698131313131313
O43745,0.5802222222222223
Q5U5Z8,0.616642156862745
Q711Q0,0.49983730158730166
Q5VXM1,0.8094642857142857
Q96BP2,0.5545515873015874
Q8N7R7,0.40519841269841267
Q15078,0.654788961038961
Q6NT52,0.5144932844932845
Q9BUK0,0.47875
P13987,0.5247225274725275
P21127,0.5741666666666666
P28330,0.5374920634920635
Q2M2I8,0.49864285714285717
P08697,0.6347720057720058
Q9H161,0.4694166666666667
P78325,0.6067023809523809
P51828,0.5075793650793651
P0CW23,0.5027710622710624
Q9H9G7,0.5625869408369408
Q96F25,0.5399336219336219
Q53H12,0.6765952380952381
Q9UM73,0.5565436507936509
P07741,0.5793484848484849
P41181,0.5655115440115441
Q53RT3,0.5903333333333333
O15084,0.5527020202020202
Q13625,0.7419119769119769
Q9Y2T2,0.5194078144078145
Q8WXK1,0.5361933621933622
Q9H9F9,0.6546706349206349
Q16853,0.5901785714285716
Q9NQS1,0.6351111111111112
Q8WXF7,0.5753690476190476
P54710,0.5393373015873016
O43709,0.5913005817711702
P22003,0.48658333333333326
P35613,0.6471547619047618
P20290,0.661840909090909
Q86WA6,0.5937896825396826
Q9UPM9,0.6910000000000003
P62324,0.6086132201132199
Q9UIG0,0.46989285714285706
Q8WZ19,0.5196031746031747
P48751,0.6422222222222221
O95429,0.608579365079365
Q8NFC6,0.5746230158730158
O75752,0.6298643578643578
Q9UQB8,0.6271282051282051
P19099,0.528485347985348
Q13901,0.5554365079365079
Q2TBE0,0.48775793650793653
Q9NW68,0.6805900488400488
Q9BQE9,0.6482474747474747
Q86VP6,0.5697738095238094
Q86UW7,0.5653506493506494
Q9UBN1,0.6178838383838384
Q9ULB4,0.6075833333333334
O75871,0.5622936507936508
Q8TAL5,0.5176587301587302
Q504U0,0.4572380952380952
Q9UDR5,0.5587619047619047
Q07001,0.6460833333333333
P21589,0.5545476190476191
Q9NUB1,0.5817936507936508
Q7Z4H4,0.5456111111111112
Q96M93,0.6102738095238095
Q96SZ5,0.6122619047619048
Q8N6T3,0.4820873015873016
Q8IUX7,0.5390158730158731
A6NC57,0.6386727994227994
Q8IXJ9,0.4749126984126984
Q8IYS0,0.5240198412698412
Q16720,0.6579974747474747
O43861,0.5946944444444445
P17735,0.5952878787878787
Q13315,0.5842380952380952
P56378,0.6181785714285715
Q3B7T3,0.5708333333333332
Q9NQY0,0.5929725274725273
Q9Y6D5,0.5854166666666667
P50895,0.6164166666666666
Q8NFU1,0.5201626984126984
Q5PSV4,0.5321776556776557
Q14201,0.5242500000000001
Q6PJG6,0.46867063492063493
Q7Z7M8,0.6038333333333333
Q96G97,0.6227301587301589
Q9Y2C3,0.45300000000000007
Q8N143,0.5352936507936509
Q13895,0.6020833333333333
Q5W0U4,0.5653492063492063
O43497,0.6026739926739927
Q8WU43,0.5760869408369409
O00305,0.5710000000000001
Q9NYF8,0.6816269841269841
Q9UJ99,0.5602132034632035
Q8N4S0,0.5172766955266956
Q9BWT7,0.4261428571428572
Q9NVE4,0.5316111111111111
Q9H9S4,0.5828809523809525
O75808,0.5786547619047618
P09668,0.5806428571428571
Q8N126,0.5259801587301589
P47710,0.5607813852813852
P07339,0.469984126984127
P54289,0.5355714285714285
P13994,0.6378571428571429
Q6DHV5,0.5141349206349206
Q5JVX7,0.47640476190476194
P15086,0.5814062049062049
Q9BRT8,0.7104047619047619
O00585,0.5172447552447552
P13500,0.5152222222222221
P23280,0.6970530303030302
Q5VST6,0.6366309523809524
Q8N2K0,0.5903571428571428
P42684,0.6245865800865801
O75969,0.5918443223443224
P84085,0.5577500000000001
Q9NUS5,0.5261666666666667
A6NH57,0.52225
P35414,0.6225238095238095
O00203,0.6729880952380952
Q7Z6R9,0.5729285714285716
Q9Y6B7,0.583252886002886
P15848,0.6316507936507935
Q8TF62,0.5430703463203463
P50747,0.5446547619047619
O95817,0.5732738095238096
Q9Y5Z6,0.6494761904761904
Q6UWJ8,0.5601601731601731
Q9UKI2,0.7772651515151513
Q07817,0.5799227994227995
A6NCS6,0.7046904761904762
Q9P1Z2,0.4808073593073594
P49913,0.5904007936507936
Q8TC90,0.5717193362193363
Q12864,0.5432985347985348
Q6IMN6,0.6117651515151514
P0DP23,0.35838736263736254
Q9NZU7,0.5323333333333333
Q13938,0.6476666666666666
Q66K79,0.5528268398268399
Q9BV19,0.5696168831168831
Q8NEF3,0.5364615384615385
P15085,0.5507395382395383
Q9GZT6,0.5235436507936508
Q8NDD1,0.5319166666666668
Q9UPW5,0.6124456654456655
Q13112,0.6233333333333333
P20963,0.5876111111111111
P20138,0.4771135531135531
Q8NEG2,0.6386150793650794
Q14094,0.6542258297258298
Q8TBY9,0.5321210317460318
Q8WUH1,0.4629416971916973
O43529,0.4796071428571429
Q3B7I2,0.542282967032967
P32248,0.4821388888888889
Q9Y2V0,0.7296883116883116
Q6P2H3,0.5608809523809524
Q8TCG1,0.7440238095238096
Q8WXI4,0.5953968253968254
O60516,0.5598856005106004
Q9UNQ0,0.664969696969697
Q9H0P0,0.6839999999999999
P17516,0.5196150793650794
P29274,0.5758546176046176
C9J202,0.6189365079365081
P30838,0.7365023310023311
Q7Z591,0.5530833333333333
Q9BT22,0.5456987179487179
Q9NZN9,0.5301601731601732
Q9BT30,0.5780238095238096
Q96PS8,0.5349220779220779
O43488,0.6904419191919193
O95626,0.5108980463980464
Q92481,0.6007209457209457
P20073,0.6747777777777777
Q5FYA8,0.6198181818181819
Q8WWX0,0.7365061327561326
O75366,0.5534404761904763
Q9HD20,0.5993726551226551
Q5H9J7,0.4842222222222222
P11021,0.6321349206349206
Q92934,0.7053015873015873
Q9BYV9,0.6284101731601733
Q9UL15,0.5217460317460318
P25440,0.6613832833832833
Q9H694,0.6018030303030304
Q6PGQ7,0.5605432900432901
O43505,0.5500952380952381
P46379,0.7340705128205128
O43521,0.530814713064713
O95180,0.5230898268398269
Q10588,0.5307725052725053
Q13137,0.5388928571428572
P63098,0.5348427128427129
Q9NWW7,0.5448740981240983
P49069,0.5141507936507936
O15484,0.5144812409812409
P43235,0.6327777777777778
Q9BXJ1,0.5523492063492064
Q86WR0,0.6215
P0CW27,0.5594242424242425
Q6P1W5,0.5362023809523808
Q9ULX7,0.4853174603174603
Q9Y646,0.495420634920635
Q8N8U2,0.7003104118104116
Q5TB80,0.5315555555555556
Q6ZQR2,0.484075036075036
Q5T0N1,0.4794101731601732
Q9HD42,0.5893268398268399
Q8WV93,0.5995
P30837,0.5805448717948718
Q9UJX3,0.5655714285714285
O14497,0.6056666666666668
O95782,0.4648809523809524
Q92485,0.6880238095238095
P06576,0.6118809523809523
Q3ZCQ2,0.671952380952381
Q9UHI8,0.5933690476190476
P51164,0.5141190476190476
P53004,0.5746904761904762
Q8N8U9,0.5655714285714285
O75815,0.6039523809523809
Q9BWV1,0.5997222222222223
Q7Z569,0.7565119047619046
Q8N9W6,0.5522651515151515
P55201,0.5316547619047618
P02730,0.44083333333333335
Q9C0J1,0.5808333333333333
P41182,0.5532936507936509
Q5TBC7,0.5198901098901101
Q075Z2,0.5367633477633479
Q16548,0.6114285714285714
Q4VC31,0.5077817460317461
Q9HB09,0.6616984126984127
P47756,0.6776904761904763
O14815,0.503013431013431
